Function	中文-自动化变异详情	中文-疾病名称	ExIn_ID	中文-突变判定	参考文献-标准	Gene Symbol	Chr	Transcript	英文-疾病名称	遗传模式	疾病背景（CH）	治疗与干预（中文）	发病率(中文)	新生儿一体机包装变异
EX46_47 DEL	该变异为缺失变异，会导致DMD基因的第46-47号外显子发生缺失。已有该变异致病性的相关文献报道[1-4]。根据ACMG 2015版指南，DMD基因的EX46_47 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-47	致病变异	Saillour Y, et al. Detection of exonic copy-number changes using a highly efficient oligonucleotide-based comparative genomic hybridization-array method. Hum Mutat.2008 Sep;29(9):1083-90<br/>del Gaudio D, et al. Molecular diagnosis of Duchenne/Becker muscular dystrophy: enhanced detection of dystrophin gene rearrangements by oligonucleotide array-comparative genomic hybridization. Hum Mutat.2008 Sep;29(9):1100-7<br/>Dent KM, et al. Improved molecular diagnosis of dystrophinopathies in an unselected clinical cohort. Am J Med Genet A.2005 Apr 30;134(3):295-8<br/>Moizard MP, et al. Are Dp71 and Dp140 brain dystrophin isoforms related to cognitive impairment in Duchenne muscular dystrophy? Am J Med Genet.1998 Oct 30;80(1):32-41	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_48 DEL	该变异为缺失变异，会导致DMD基因的第46-48号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX46_48 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-48	致病变异	Sinha S, et al. High frequency of new mutations in North Indian Duchenne/Becker muscular dystrophy patients. Clin Genet.1996 Nov;50(5):327-31<br/>Moizard MP, et al. Are Dp71 and Dp140 brain dystrophin isoforms related to cognitive impairment in Duchenne muscular dystrophy? Am J Med Genet.1998 Oct 30;80(1):32-41	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_49 DEL	该变异为缺失变异，会导致DMD基因的第46-49号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX46_49 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-49	致病变异	Sinha S, et al. High frequency of new mutations in North Indian Duchenne/Becker muscular dystrophy patients. Clin Genet.1996 Nov;50(5):327-31	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_50 DEL	该变异为缺失变异，会导致DMD基因的第46-50号外显子发生缺失。已有该变异致病性的相关文献报道[1-3]。根据ACMG 2015版指南，DMD基因的EX46_50 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-50	致病变异	Oshima J, et al. Regional genomic instability predisposes to complex dystrophin gene rearrangements. Hum Genet.2009 Sep;126(3):411-23<br/>Ulgenalp A, et al. Electroretinographic findings in Duchenne/Becker muscular dystrophy and correlation with genotype. Ophthalmic Genet.2002 Sep;23(3):157-65<br/>Hegde MR, et al. Microarray-based mutation detection in the dystrophin gene. Hum Mutat.2008 Sep;29(9):1091-9	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_51 DEL	该变异为缺失变异，会导致DMD基因的第46-51号外显子发生缺失。已有该变异致病性的相关文献报道[1-5]。根据ACMG 2015版指南，DMD基因的EX46_51 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-51	致病变异	Moizard MP, et al. Are Dp71 and Dp140 brain dystrophin isoforms related to cognitive impairment in Duchenne muscular dystrophy? Am J Med Genet.1998 Oct 30;80(1):32-41<br/>del Gaudio D, et al. Molecular diagnosis of Duchenne/Becker muscular dystrophy: enhanced detection of dystrophin gene rearrangements by oligonucleotide array-comparative genomic hybridization. Hum Mutat.2008 Sep;29(9):1100-7<br/>Sinha S, et al. High frequency of new mutations in North Indian Duchenne/Becker muscular dystrophy patients. Clin Genet.1996 Nov;50(5):327-31<br/>Oshima J, et al. Regional genomic instability predisposes to complex dystrophin gene rearrangements. Hum Genet.2009 Sep;126(3):411-23<br/>Fajkusová L, et al. Novel dystrophin mutations revealed by analysis of dystrophin mRNA: alternative splicing suppresses the phenotypic effect of a nonsense mutation. Neuromuscul Disord.2001 Mar;11(2):133-8	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_52 DEL	该变异为缺失变异，会导致DMD基因的第46-52号外显子发生缺失。已有该变异致病性的相关文献报道[1-3]。根据ACMG 2015版指南，DMD基因的EX46_52 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-52	致病变异	Mukherjee M, et al. De novo mutations in sporadic deletional Duchenne muscular dystrophy (DMD) cases. Exp Mol Med.2003 Apr 30;35(2):113-7<br/>Sinha S, et al. High frequency of new mutations in North Indian Duchenne/Becker muscular dystrophy patients. Clin Genet.1996 Nov;50(5):327-31<br/>Oshima J, et al. Regional genomic instability predisposes to complex dystrophin gene rearrangements. Hum Genet.2009 Sep;126(3):411-23	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_53 DEL	该变异为缺失变异，会导致DMD基因的第46-53号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX46_53 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-53	致病变异	del Gaudio D, et al. Molecular diagnosis of Duchenne/Becker muscular dystrophy: enhanced detection of dystrophin gene rearrangements by oligonucleotide array-comparative genomic hybridization. Hum Mutat.2008 Sep;29(9):1100-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_54 DEL	该变异为缺失变异，会导致DMD基因的第46-54号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX46_54 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-54	致病变异	Pandey GS, et al. Re-evaluation of reading frame-shift hypothesis in Duchenne and Becker muscular dystrophy. Neurol India.2003 Sep;51(3):367-9	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_55 DEL	该变异为缺失变异，会导致DMD基因的第46-55号外显子发生缺失。已有该变异致病性的相关文献报道[1-3]。根据ACMG 2015版指南，DMD基因的EX46_55 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-55	致病变异	Lalic T, et al. Deletion and duplication screening in the DMD gene using MLPA. Eur J Hum Genet.2005 Nov;13(11):1231-4<br/>del Gaudio D, et al. Molecular diagnosis of Duchenne/Becker muscular dystrophy: enhanced detection of dystrophin gene rearrangements by oligonucleotide array-comparative genomic hybridization. Hum Mutat.2008 Sep;29(9):1100-7<br/>Moizard MP, et al. Are Dp71 and Dp140 brain dystrophin isoforms related to cognitive impairment in Duchenne muscular dystrophy? Am J Med Genet.1998 Oct 30;80(1):32-41	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX46_60 DEL	该变异为缺失变异，会导致DMD基因的第46-60号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX46_60 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX46-60	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX4_7 DEL	该变异为缺失变异，会导致DMD基因的第4-7号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX4_7 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX4-7	致病变异	Zeng F, et al. Array-MLPA: comprehensive detection of deletions and duplications and its application to DMD patients. Hum Mutat.2008 Jan;29(1):190-7<br/>Hegde MR, et al. Microarray-based mutation detection in the dystrophin gene. Hum Mutat.2008 Sep;29(9):1091-9	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX47_48 DEL	该变异为缺失变异，会导致DMD基因的第47-48号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX47_48 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX47-48	致病变异	Kaspar RW, et al. Analysis of dystrophin deletion mutations predicts age of cardiomyopathy onset in becker muscular dystrophy. Circ Cardiovasc Genet.2009 Dec;2(6):544-51<br/>Mital A, et al. Molecular characterisation of Duchenne muscular dystrophy and phenotypic correlation. J Neurol Sci.1998 May 7;157(2):179-86	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX47_49 DEL	该变异为缺失变异，会导致DMD基因的第47-49号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX47_49 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX47-49	致病变异	Nobile C, et al. Analysis of 22 deletion breakpoints in dystrophin intron 49. Hum Genet.2002 May;110(5):418-21	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX47_50 DEL	该变异为缺失变异，会导致DMD基因的第47-50号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX47_50 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX47-50	致病变异	Sinha S, et al. High frequency of new mutations in North Indian Duchenne/Becker muscular dystrophy patients. Clin Genet.1996 Nov;50(5):327-31<br/>Ehrenpreis J, et al. Analysis of a dystrophin gene deletion by amplification of mRNA isolated from DMD myotubes cultured in vitro. Genomics.1991 Jul;10(3):551-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
